region,week_start,revenue,profit,order_count,avg_discount,profit_margin,week_of_year,repeat_purchase_rate,ticket_volume,pct_high_priority,pct_unresolved,avg_satisfaction,avg_tenure_months,churn_rate,avg_monthly_charges,pct_month_to_month
Central,2013-12-30,304.508,-60.4389,2,0.35000000000000003,-0.19848049969130532,1,0.548489666136725,38,0.4473684210526316,0.631578947368421,3.0,32.465625,0.24875,64.27365625,0.549375
Central,2014-01-06,127.702,-61.0441,2,0.45,-0.4780199213794616,2,0.548489666136725,45,0.5555555555555556,0.6,2.4444444444444446,32.465625,0.24875,64.27365625,0.549375
Central,2014-01-20,867.196,228.323,3,0.009090909090909092,0.26328880668268767,4,0.548489666136725,32,0.5625,0.625,3.0833333333333335,32.465625,0.24875,64.27365625,0.549375
Central,2014-01-27,709.4,217.96620000000001,2,0.0,0.3072542994079504,5,0.548489666136725,39,0.48717948717948717,0.717948717948718,3.0,32.465625,0.24875,64.27365625,0.549375
Central,2014-02-03,8.952,-14.7708,1,0.8,-1.65,6,0.548489666136725,31,0.7741935483870968,0.6451612903225806,2.8181818181818183,32.465625,0.24875,64.27365625,0.549375
Central,2014-02-10,560.486,97.1991,3,0.2,0.1734193182345322,7,0.548489666136725,37,0.5405405405405406,0.5675675675675675,2.3125,32.465625,0.24875,64.27365625,0.549375
Central,2014-02-17,194.836,6.062400000000001,6,0.35000000000000003,0.031115399618140388,8,0.548489666136725,36,0.5277777777777778,0.6666666666666666,2.8333333333333335,32.465625,0.24875,64.27365625,0.549375
Central,2014-02-24,1739.643,-262.0416,3,0.2875,-0.15062952571303423,9,0.548489666136725,37,0.5675675675675675,0.7027027027027027,3.090909090909091,32.465625,0.24875,64.27365625,0.549375
Central,2014-03-03,176.772,-459.6072,1,0.8,-2.6,10,0.548489666136725,35,0.45714285714285713,0.5428571428571428,2.8125,32.465625,0.24875,64.27365625,0.549375
Central,2014-03-10,605.7379999999999,169.4294,2,0.16666666666666666,0.27970739824808744,11,0.548489666136725,31,0.41935483870967744,0.8064516129032258,3.6666666666666665,32.465625,0.24875,64.27365625,0.549375
Central,2014-03-17,291.384,122.35979999999999,3,0.06666666666666668,0.41992628284325834,12,0.548489666136725,37,0.6216216216216216,0.6756756756756757,2.6666666666666665,32.465625,0.24875,64.27365625,0.549375
Central,2014-03-24,2925.947,155.6435,4,0.14285714285714285,0.05319423079091999,13,0.548489666136725,33,0.5757575757575758,0.6363636363636364,3.0833333333333335,32.465625,0.24875,64.27365625,0.549375
Central,2014-03-31,1105.4940000000001,104.6204,5,0.15,0.09463678681204962,14,0.548489666136725,40,0.475,0.7,3.3333333333333335,32.465625,0.24875,64.27365625,0.549375
Central,2014-04-07,790.752,280.97520000000003,2,0.1,0.35532657520942096,15,0.548489666136725,37,0.5675675675675675,0.6486486486486487,2.769230769230769,32.465625,0.24875,64.27365625,0.549375
Central,2014-04-14,1887.604,-160.2223,2,0.24285714285714285,-0.08488130985100688,16,0.548489666136725,49,0.5306122448979592,0.6938775510204082,3.3333333333333335,32.465625,0.24875,64.27365625,0.549375
Central,2014-04-21,16.608,4.1748,1,0.2,0.2513728323699422,17,0.548489666136725,41,0.5365853658536586,0.7073170731707317,3.0833333333333335,32.465625,0.24875,64.27365625,0.549375
Central,2014-04-28,111.672,36.0936,3,0.1,0.32321083172147,18,0.548489666136725,36,0.3611111111111111,0.7777777777777778,3.5,32.465625,0.24875,64.27365625,0.549375
Central,2014-05-05,1780.009,-304.4788,6,0.3333333333333333,-0.17105464073496257,19,0.548489666136725,44,0.4772727272727273,0.6363636363636364,2.375,32.465625,0.24875,64.27365625,0.549375
